TARGET_PERIOD,period_dt,actual,full_gcsr,bates_granger_mv,var_error,cov_only,recent_best,graph_only,equal,median,rs_selection,bates_granger,mult_tilt
2011-02-01,2011-02-01,9.9,10.5574158911242,10.792164888661791,10.63715301386508,10.557820510637917,10.8,10.304105160093364,10.461177272727273,10.5,9.9,10.464853634549169,10.557820511158923
2011-05-01,2011-05-01,9.9,10.242719776152253,10.27874408969799,9.799999999020002,10.243144645360243,9.8,10.415597459589268,10.255927272727273,10.3,10.7,10.241845079143454,10.243144646126197
2011-08-01,2011-08-01,10.1,9.930705561152553,9.768938827916308,10.094895350590344,9.930272463523567,10.2485,10.072800986204047,10.095318181818183,10.1,10.1,10.06597126460017,9.930272464362826
2011-11-01,2011-11-01,10.4,9.857684823098689,9.636277671067296,10.006548193300244,9.728846674752138,9.7,9.983539399446045,9.951456261181818,9.9,9.5,9.907170625619841,9.727212908046194
2012-02-01,2012-02-01,10.7,9.64470285349918,9.495647274361342,9.599999999040001,9.567245107924613,9.6,9.725328116601528,9.646470588236365,9.6,9.6,9.63771968353247,9.564078853047741
2012-05-01,2012-05-01,11.0,9.769684926466116,9.537986533322591,9.499999999049999,9.493326094098979,9.8,9.876277358280898,9.511581045748141,9.5,10.005222222217778,9.510914642537257,9.50511519976801
2012-08-01,2012-08-01,11.1,10.001132748385931,9.88713905624419,9.999999999,9.938500041800676,10.1,10.004273389204315,10.082860962563636,10.0114705882,10.0,10.0598211176003,9.941153295229066
2012-11-01,2012-11-01,11.5,10.756979983423888,10.477478227765095,10.676400234689906,10.631125690897298,10.6,11.38904834240117,10.817013368981819,10.9,11.4,10.787009043147286,10.631125691652919
2013-02-01,2013-02-01,11.7,11.13987975847328,11.244121919080282,10.9999999989,11.189012274060676,11.3,11.20287024126469,11.113835427811818,11.2,11.3,11.127805394987604,11.189012274816317
2013-05-01,2013-05-01,11.7,11.546062153218415,11.228568647337745,11.499999998850003,11.362046852403232,11.6,11.587898931535511,11.470187165772726,11.5,11.6,11.45087332724252,11.39223918558001
2013-08-01,2013-08-01,11.5,11.656413218302376,11.578502489263233,11.627615433597448,11.624128077289608,12.3,11.736580678928437,11.74909090909091,11.7,11.6,11.72507191609709,11.625579918279744
