Method,Mean_Loss,Median_Loss,Std_Loss,Total_Loss,Rel_MSFE
rs_selection,0.6103393050297516,0.3700000000000001,0.6522860858927763,36.620358301785096,0.7027256643287664
graph_only,0.6565847172270912,0.5745868037340998,0.639876142084981,39.395083033625475,0.7559711914326598
full_gcsr,0.7817819609224854,0.7484550945887516,0.6774270735378248,46.906917655349126,0.9001193980497769
recent_best,0.8665173666210284,0.8100000000000006,0.7170308105160449,51.9910419972617,0.9976811047446679
equal,0.8685313998635108,0.8461033291575903,0.757724331568319,52.11188399181065,0.9999999998848631
bates_granger,0.8717276819754748,0.8487774240171941,0.7552175817075265,52.303660918528486,1.003680099547464
var_error,0.8735288262960815,0.8794803002639568,0.7399941219106547,52.411729577764895,1.005753881014297
mult_tilt,0.8806212217753158,0.7977895119143559,0.7299244589527242,52.837273306518945,1.0139198442477875
median,0.8836604785040565,0.8099999999999989,0.7976145842523082,53.01962871024339,1.0174191497753349
cov_only,0.8861594283879545,0.7998515953981091,0.7287793793485904,53.16956570327727,1.020296362831769
bates_granger_mv,0.9161545470726343,0.8561274729349115,0.7247335793329017,54.96927282435806,1.0548318081662036
