Method,Mean_Loss,Median_Loss,Std_Loss,Total_Loss,Rel_MSFE
bates_granger_mv,8.063764555207767,0.4900000000011198,17.373375186234256,249.97670121144077,0.9433865323746283
cov_only,8.25284042868547,0.3437073034370218,18.032100186937928,255.8380532892496,0.9655066763116978
recent_best,8.366716519262896,0.6400000000000001,17.63699454208782,259.36821209714975,0.9788291350063576
graph_only,8.37849293316282,0.47883746381160636,18.352083461094242,259.7332809280474,0.9802068674781821
mult_tilt,8.41273780009774,0.3550842216368319,18.04618434052169,260.79487180303,0.9842132029866391
full_gcsr,8.438391153902637,0.3474142364353277,18.052974039962052,261.5901257709818,0.9872144102173427
bates_granger,8.507018615909011,0.4382620742208525,18.201360169348387,263.71757709317933,0.9952431941636761
equal,8.54767826175053,0.45562500000000034,18.20813592770088,264.9780261142664,0.999999999999883
rs_selection,8.601696190385136,0.48999999999999994,18.56203494827492,266.6525819019392,1.0063196024674117
median,8.702983800484798,0.26215805719964547,18.38235650200911,269.79249781502875,1.0181693243448595
